Angle,mic0,mic1,mic2,mic3
39,187.0,225.0,308.0,224.0,
40,174.0,192.0,279.0,204.0,
41,180.0,200.0,279.0,207.0,
42,188.0,217.0,303.0,222.0,
43,190.0,207.0,279.0,209.0,
44,191.0,217.0,302.0,221.0,
45,192.0,207.0,281.0,210.0,
46,191.0,206.0,281.0,209.0,
47,192.0,217.0,303.0,222.0,
48,192.0,206.0,280.0,209.0,
49,192.0,206.0,280.0,209.0,
50,192.0,206.0,281.0,209.0,
51,192.0,218.0,300.0,222.0,
52,192.0,206.0,282.0,210.0,
53,191.0,205.0,282.0,209.0,
54,192.0,217.0,302.0,221.0,
55,192.0,217.0,302.0,220.0,
56,195.0,209.0,281.0,211.0,
57,193.0,208.0,285.0,210.0,
58,192.0,217.0,300.0,221.0,
59,192.0,206.0,281.0,208.0,
