step,mic0,mic1,mic2,mic3,
0,1,1,1,1,
1,2,2,2,2,
2,1,1,1,1,
3,1,1,1,1,
4,1,1,1,1,
5,1,1,1,1,
6,1,1,0,1,
7,0,1,1,1,
8,1,1,1,0,
9,0,0,0,0,
10,1,0,0,1,
11,1,1,0,0,
12,1,1,0,0,
13,1,0,0,1,
14,0,0,1,1,
15,0,1,1,0,
16,0,1,1,1,
17,1,1,1,1,
18,1,2,1,1,
19,1,1,1,1,
20,1,1,1,1,
21,1,1,1,1,
22,1,1,1,1,
23,1,1,1,1,
24,0,0,0,0,
25,0,0,0,1,
26,0,0,0,0,
27,0,1,0,1,
28,0,1,0,0,
29,1,1,1,1,
30,1,1,1,1,
31,1,1,1,1,
32,1,1,1,1,
33,1,0,0,1,
34,0,1,0,1,
35,0,0,1,0,
36,0,0,0,1,
37,0,0,0,0,
38,0,1,1,0,
39,0,1,1,1,
40,0,1,0,1,
41,0,1,1,0,
42,0,0,0,0,
43,1,0,1,0,
44,1,1,0,1,
45,1,0,1,1,
46,1,1,1,0,
47,0,0,1,0,
48,0,1,1,1,
49,0,0,0,0,
50,0,0,0,0,
51,0,0,0,0,
52,1,1,1,0,
53,1,1,1,1,
54,1,1,1,1,
55,1,1,1,1,
56,1,1,1,0,
57,1,1,1,1,
58,1,1,1,1,
59,1,1,1,1,
60,1,1,1,1,
61,1,1,0,1,
62,1,1,1,1,
63,0,1,1,1,
64,1,1,1,1,
65,1,1,1,1,
66,0,1,1,1,
67,2,2,2,2,
68,1,1,1,1,
69,2,2,2,1,
70,1,2,2,1,
71,1,1,1,1,
72,1,1,1,1,
73,1,1,1,1,
74,1,1,1,1,
75,1,1,1,1,
76,1,1,1,1,
77,1,1,1,1,
78,2,2,2,2,
79,1,2,2,1,
80,1,1,2,1,
81,1,2,2,1,
82,1,1,1,1,
83,1,2,2,2,
84,1,2,1,2,
85,1,1,2,1,
86,1,1,1,1,
87,1,1,1,1,
88,1,1,1,1,
89,1,1,1,1,
90,1,1,1,1,
91,1,1,1,1,
92,2,2,1,1,
93,1,1,1,1,
94,1,2,1,1,
95,1,2,0,1,
96,1,1,1,1,
97,1,2,1,1,
98,1,1,1,1,
99,1,1,1,0,
100,1,1,1,1,
101,1,1,1,1,
102,1,0,0,1,
103,1,1,1,1,
104,1,1,1,1,
105,1,1,1,1,
106,0,0,0,1,
107,1,1,1,1,
108,1,1,1,1,
109,1,1,1,1,
110,1,1,1,1,
111,67,104,73,81,
112,61,117,70,71,
113,60,121,67,66,
114,61,123,69,62,
115,61,122,71,63,
116,62,123,72,63,
117,64,123,69,60,
118,65,123,68,61,
119,64,123,67,61,
120,64,123,68,61,
121,64,126,69,61,
122,66,127,69,61,
123,67,128,70,61,
124,68,128,70,61,
125,68,128,70,62,
126,70,128,70,62,
127,70,127,69,62,
128,72,128,69,63,
129,73,129,69,64,
130,74,129,69,64,
131,75,130,69,65,
132,76,130,69,66,
133,77,130,70,67,
134,78,131,70,67,
135,79,131,69,68,
136,79,131,69,68,
137,80,132,70,69,
138,80,132,70,69,
139,80,132,70,70,
140,80,133,70,69,
141,81,133,70,70,
142,82,134,71,70,
143,82,133,70,70,
144,82,134,71,70,
145,82,133,71,71,
146,82,134,71,71,
147,83,134,72,71,
148,82,133,72,71,
149,83,134,71,71,
150,82,134,71,71,
151,82,134,71,71,
152,82,134,71,71,
153,83,134,71,72,
154,83,133,71,71,
155,83,134,71,71,
156,82,133,71,71,
157,83,135,71,72,
158,82,134,71,72,
159,83,134,71,72,
160,83,135,71,72,
161,85,134,71,71,
162,19,10,6,15,
163,9,4,4,8,
164,4,3,4,3,
165,6,3,3,5,
166,5,3,3,4,
167,4,1,3,2,
168,3,1,2,3,
169,3,2,2,2,
170,1,2,3,1,
171,1,1,1,1,
172,1,2,1,1,
173,1,2,1,1,
174,2,2,2,1,
175,1,1,1,1,
176,1,1,1,1,
177,1,1,1,1,
178,1,1,1,1,
179,1,1,1,1,
180,1,1,1,1,
181,1,1,1,1,
182,0,1,1,0,
183,0,1,1,0,
184,1,1,1,0,
185,0,1,1,0,
186,0,0,0,0,
187,0,0,1,0,
188,0,1,1,0,
189,0,0,0,1,
190,0,0,0,0,
191,0,1,0,0,
192,0,0,1,0,
193,1,1,0,1,
194,0,1,0,1,
195,1,1,1,1,
196,1,1,1,1,
197,1,1,1,1,
198,1,1,1,1,
199,1,1,1,1,
